uri,label_en
https://www.congress.gov/help/field-values/legislative-subject-terms#88,Agricultural societies
https://www.congress.gov/help/field-values/legislative-subject-terms#89,Agricultural statistics
https://www.congress.gov/help/field-values/legislative-subject-terms#90,Agricultural subsidies
https://www.congress.gov/help/field-values/legislative-subject-terms#91,Agricultural surpluses
https://www.congress.gov/help/field-values/legislative-subject-terms#92,Agricultural trade
https://www.congress.gov/help/field-values/legislative-subject-terms#93,Agricultural wastes
https://www.congress.gov/help/field-values/legislative-subject-terms#94,Agriculture and Food
https://www.congress.gov/help/field-values/legislative-subject-terms#95,Agriculture in foreign trade
https://www.congress.gov/help/field-values/legislative-subject-terms#96,Agronomy
https://www.congress.gov/help/field-values/legislative-subject-terms#97,Aid to dependent children
https://www.congress.gov/help/field-values/legislative-subject-terms#98,Air bag restraint systems
https://www.congress.gov/help/field-values/legislative-subject-terms#99,Air cargo
https://www.congress.gov/help/field-values/legislative-subject-terms#100,Air conditioning
https://www.congress.gov/help/field-values/legislative-subject-terms#101,Air defenses
https://www.congress.gov/help/field-values/legislative-subject-terms#102,Air force
https://www.congress.gov/help/field-values/legislative-subject-terms#103,Air piracy
https://www.congress.gov/help/field-values/legislative-subject-terms#104,Air pollution control
https://www.congress.gov/help/field-values/legislative-subject-terms#105,Air quality
https://www.congress.gov/help/field-values/legislative-subject-terms#106,Air routes
https://www.congress.gov/help/field-values/legislative-subject-terms#107,Air traffic
https://www.congress.gov/help/field-values/legislative-subject-terms#108,Air travel
https://www.congress.gov/help/field-values/legislative-subject-terms#109,Air warfare
https://www.congress.gov/help/field-values/legislative-subject-terms#110,Air-to-air missiles
https://www.congress.gov/help/field-values/legislative-subject-terms#111,Airborne troops
https://www.congress.gov/help/field-values/legislative-subject-terms#112,Aircraft
https://www.congress.gov/help/field-values/legislative-subject-terms#113,Aircraft construction
https://www.congress.gov/help/field-values/legislative-subject-terms#114,Aircraft engines
https://www.congress.gov/help/field-values/legislative-subject-terms#115,Aircraft industry
https://www.congress.gov/help/field-values/legislative-subject-terms#116,Aircraft pilots
https://www.congress.gov/help/field-values/legislative-subject-terms#117,Airline employees
https://www.congress.gov/help/field-values/legislative-subject-terms#118,Airline passenger traffic
